1,Smells Like Teen Spirit,Nirvana,Nevermind,1991-09-10,00:05:01
2,Come As You Are,Nirvana,Nevermind,1991-09-10,00:03:39
3,Alive,Pearl Jam,Ten,1991-08-27,00:05:41
4,Black,Pearl Jam,Ten,1991-08-27,00:05:44
5,Fell On Black Days,Soundgarden,Superunknown,1994-03-08,00:04:42
6,Spoonman,Soundgarden,Superunknown,1994-03-08,00:04:06
7,Everlong,Foo Fighters,The Colour and the Shape,1997-05-20,00:04:10
8,My Hero,Foo Fighters,The Colour and the Shape,1997-05-20,00:04:20
9,Heavy,Crossfade,Crossfade,2004-04-13,00:04:03
10,Far Behind,Candlebox,Candlebox,1993-07-16,00:05:05
